,file,initial_length,final_length,chars_removed,initial_tokens,final_tokens,token_removed,is_10k,status
95,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2004_Annual Report.txt,688827 char,624199 char,64628,84907 tokens,77948 tokens,6959,False,Success
81,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2004_10-K.txt,219495 char,200807 char,18688,26290 tokens,24619 tokens,1671,False,Success
83,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2003_10-K.txt,228100 char,208291 char,19809,27456 tokens,25522 tokens,1934,False,Success
86,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2002_Annual Report.txt,514992 char,464695 char,50297,62541 tokens,57197 tokens,5344,False,Success
79,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2002_10-K.txt,230812 char,210231 char,20581,27791 tokens,25602 tokens,2189,False,Success
78,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2001_10-K.txt,233093 char,212432 char,20661,28096 tokens,25935 tokens,2161,False,Success
80,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2000_Annual Report.txt,262402 char,238292 char,24110,31999 tokens,29269 tokens,2730,False,Success
77,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2000_10-K.txt,213447 char,194302 char,19145,25857 tokens,23672 tokens,2185,False,Success
75,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2022_Annual Report.txt,140800 char,129330 char,11470,17075 tokens,15881 tokens,1194,False,Success
76,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2021_Annual Report.txt,183944 char,169876 char,14068,22225 tokens,20789 tokens,1436,False,Success
74,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2020_Annual Report.txt,180384 char,166343 char,14041,21769 tokens,20317 tokens,1452,False,Success
73,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2019_Annual Report.txt,163843 char,151244 char,12599,19839 tokens,18515 tokens,1324,False,Success
71,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2018_Annual Report.txt,160006 char,147462 char,12544,19291 tokens,17996 tokens,1295,False,Success
72,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2017_Annual Report.txt,211136 char,190308 char,20828,26733 tokens,23700 tokens,3033,False,Success
70,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2016_Annual Report.txt,188495 char,171418 char,17077,23500 tokens,21436 tokens,2064,False,Success
68,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2015_Annual Report.txt,207668 char,189622 char,18046,25685 tokens,23587 tokens,2098,False,Success
65,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2014_Annual Report.txt,186969 char,171978 char,14991,22755 tokens,21270 tokens,1485,False,Success
64,10-K_or_equivalent-txt-preprocessed\Boehringer Ingelheim\boehringer-ingelheim_2013_Annual Report.txt,190477 char,175211 char,15266,23651 tokens,22033 tokens,1618,False,Success
69,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2023_10-K.txt,374809 char,341958 char,32851,44569 tokens,41427 tokens,3142,False,Success
62,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2022_Annual Report.txt,960183 char,958667 char,1516,12017 tokens,11794 tokens,223,False,Success
66,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2022_10-K.txt,353692 char,323311 char,30381,42021 tokens,39217 tokens,2804,False,Success
67,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2021_10-K.txt,384867 char,351887 char,32980,45860 tokens,42695 tokens,3165,False,Success
60,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2020_Annual Report.txt,1082695 char,1078747 char,3948,17142 tokens,16636 tokens,506,False,Success
63,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2020_10-K.txt,381923 char,349432 char,32491,45339 tokens,42314 tokens,3025,False,Success
61,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2019_10-K.txt,349262 char,319287 char,29975,41502 tokens,38721 tokens,2781,False,Success
57,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2018_Annual Report.txt,241404 char,220801 char,20603,29055 tokens,27238 tokens,1817,False,Success
59,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2018_10-K.txt,307037 char,279953 char,27084,36552 tokens,34026 tokens,2526,False,Success
58,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2017_10-K.txt,292476 char,266708 char,25768,34891 tokens,32500 tokens,2391,False,Success
55,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2016_Annual Report.txt,235256 char,215512 char,19744,28159 tokens,26416 tokens,1743,False,Success
54,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2016_10-K.txt,287627 char,262548 char,25079,34055 tokens,31754 tokens,2301,False,Success
56,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2015_10-K.txt,319740 char,292507 char,27233,37980 tokens,35408 tokens,2572,False,Success
53,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2014_Annual Report.txt,290275 char,264524 char,25751,34864 tokens,32527 tokens,2337,False,Success
52,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2014_10-K.txt,316974 char,289628 char,27346,37559 tokens,35058 tokens,2501,False,Success
51,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2013_10-K.txt,334947 char,306094 char,28853,39717 tokens,36975 tokens,2742,False,Success
48,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2012_Annual Report.txt,273349 char,249546 char,23803,32880 tokens,30654 tokens,2226,False,Success
50,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2012_10-K.txt,337260 char,308225 char,29035,39983 tokens,37139 tokens,2844,False,Success
49,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2011_10-K.txt,329943 char,301958 char,27985,39229 tokens,36497 tokens,2732,False,Success
47,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2010_Annual Report.txt,323659 char,296597 char,27062,38856 tokens,36456 tokens,2400,False,Success
46,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2010_10-K.txt,393342 char,360415 char,32927,46843 tokens,43768 tokens,3075,False,Success
45,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2009_10-K.txt,370539 char,338729 char,31810,44153 tokens,41205 tokens,2948,False,Success
42,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2008_Annual Report.txt,277114 char,254095 char,23019,33316 tokens,31385 tokens,1931,False,Success
43,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2008_10-K.txt,380613 char,348809 char,31804,45361 tokens,42552 tokens,2809,False,Success
44,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2007_10-K.txt,446495 char,409632 char,36863,53006 tokens,49801 tokens,3205,False,Success
40,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2006_Annual Report.txt,373471 char,342143 char,31328,44512 tokens,41668 tokens,2844,False,Success
41,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2006_10-K.txt,461965 char,422361 char,39604,55145 tokens,51400 tokens,3745,False,Success
39,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2005_10-K.txt,407735 char,373697 char,34038,48472 tokens,45380 tokens,3092,False,Success
38,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2004_Annual Report.txt,332607 char,303696 char,28911,40353 tokens,37770 tokens,2583,False,Success
35,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2004_10-K.txt,172290 char,157576 char,14714,20563 tokens,19331 tokens,1232,False,Success
37,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2003_Annual Report.txt,275984 char,252715 char,23269,33391 tokens,31272 tokens,2119,False,Success
36,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2003_10-K.txt,319352 char,293700 char,25652,37601 tokens,35539 tokens,2062,False,Success
34,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2002_10-K.txt,219867 char,200942 char,18925,26304 tokens,24385 tokens,1919,False,Success
33,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2001_10-K.txt,213824 char,195528 char,18296,25236 tokens,23584 tokens,1652,False,Success
26,10-K_or_equivalent-txt-preprocessed\BMY\BMY_2000_10-K.txt,97098 char,88420 char,8678,11887 tokens,10909 tokens,978,False,Success
32,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2023_10-K.txt,281042 char,257229 char,23813,33476 tokens,31225 tokens,2251,False,Success
31,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2022_10-K.txt,277784 char,254172 char,23612,33067 tokens,30871 tokens,2196,False,Success
30,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2021_10-K.txt,281715 char,257589 char,24126,33644 tokens,31334 tokens,2310,False,Success
29,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2020_10-K.txt,287250 char,262422 char,24828,34297 tokens,31842 tokens,2455,False,Success
28,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2019_10-K.txt,254922 char,232747 char,22175,30414 tokens,28268 tokens,2146,False,Success
27,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2018_10-K.txt,250662 char,228830 char,21832,29961 tokens,27834 tokens,2127,False,Success
25,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2017_10-K.txt,257625 char,235128 char,22497,30770 tokens,28585 tokens,2185,False,Success
24,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2016_10-K.txt,265113 char,242061 char,23052,31633 tokens,29337 tokens,2296,False,Success
22,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2015_10-K.txt,261067 char,238297 char,22770,31173 tokens,28860 tokens,2313,False,Success
23,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2014_10-K.txt,251712 char,229815 char,21897,30089 tokens,27888 tokens,2201,False,Success
20,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2013_10-K.txt,242812 char,221356 char,21456,29151 tokens,27004 tokens,2147,False,Success
19,10-K_or_equivalent-txt-preprocessed\ABBV\ABBV_2012_10-K.txt,232787 char,211810 char,20977,28023 tokens,25826 tokens,2197,False,Success
15,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2023_Annual Consolidated Financial Statements.txt,47054 char,43215 char,3839,5681 tokens,5352 tokens,329,False,Success
21,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2022_Sustainability Report.txt,326936 char,296133 char,30803,40437 tokens,35879 tokens,4558,False,Success
16,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2022_Annual Consolidated Financial Statements.txt,104904 char,94788 char,10116,12761 tokens,11873 tokens,888,False,Success
18,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2021_Integrated Report.txt,252144 char,224805 char,27339,32765 tokens,27840 tokens,4925,False,Success
13,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2021_Annual Consolidated Financial Statements.txt,103076 char,93097 char,9979,12531 tokens,11658 tokens,873,False,Success
17,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2020_Integrated Report.txt,199464 char,178613 char,20851,25609 tokens,21867 tokens,3742,False,Success
1,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2020_Annual Consolidated Financial Statements.txt,101279 char,91611 char,9668,12308 tokens,11437 tokens,871,False,Success
4,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2019_Integrated Report.txt,200593 char,179266 char,21327,25942 tokens,22054 tokens,3888,False,Success
14,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2019_Annual Consolidated Financial Statements.txt,121787 char,110245 char,11542,14762 tokens,13725 tokens,1037,False,Success
2,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2018_Integrated Report.txt,198163 char,179768 char,18395,25243 tokens,22410 tokens,2833,False,Success
0,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2018_Annual Consolidated Financial Statements.txt,127631 char,116131 char,11500,15425 tokens,14424 tokens,1001,False,Success
6,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2017_Integrated Report.txt,151937 char,140029 char,11908,19008 tokens,17476 tokens,1532,False,Success
8,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2017_Annual Consolidated Financial Statements.txt,112492 char,102382 char,10110,13636 tokens,12768 tokens,868,False,Success
5,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2016_CSR Report.txt,135509 char,121875 char,13634,17805 tokens,15488 tokens,2317,False,Success
3,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2016_Annual Consolidated Financial Statements.txt,145316 char,132001 char,13315,17596 tokens,16442 tokens,1154,False,Success
12,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2015_CSR Report.txt,118866 char,108794 char,10072,14910 tokens,13816 tokens,1094,False,Success
9,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2014_CSR Report.txt,130374 char,119015 char,11359,16425 tokens,15279 tokens,1146,False,Success
7,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2013_CSR Report.txt,119774 char,110043 char,9731,14935 tokens,14009 tokens,926,False,Success
11,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2012_CSR Report.txt,131971 char,116195 char,15776,18187 tokens,15047 tokens,3140,False,Success
10,10-K_or_equivalent-txt-preprocessed\4578JPX (OTSUKA)\OTSUKA_2011_CSR Report.txt,231761 char,210803 char,20958,28986 tokens,26631 tokens,2355,False,Success
